# of Objects, Time Spent
1,0.0
1,0.0
1,0.0
1001,0.0
1001,0.0
1001,0.0
2001,0.0
2001,0.0
2001,0.0
3001,0.0
3001,0.0
3001,0.0
4001,0.0
4001,0.0
4001,0.0
5001,0.0
5001,0.0
5001,0.0
6001,0.0
6001,0.0
6001,0.0
7001,0.0
7001,0.0
7001,0.0
8001,0.0
1,0.0
1,0.0
1,0.0
1001,0.0010030269622802734
1001,0.0
1001,0.0
2001,0.0
2001,0.0
2001,0.0
3001,0.0
3001,0.0
3001,0.0
4001,0.0
4001,0.0
4001,0.0
5001,0.0
5001,0.0
5001,0.0
6001,0.0
6001,0.0
6001,0.0
7001,0.0
7001,0.0
7001,0.0
8001,0.0
8001,0.0
8001,0.0
9001,0.0
9001,0.0
9001,0.0
10001,0.0
10001,0.0
10001,0.0
11001,0.0
11001,0.0
11001,0.0
12001,0.0
12001,0.0
12001,0.0
13001,0.0
13001,0.0
13001,0.0
14001,0.0
14001,0.0
14001,0.0
15001,0.0
15001,0.0
15001,0.0
16001,0.0
16001,0.0
16001,0.0
17001,0.0
17001,0.0
17001,0.0
18001,0.0
18001,0.0
18001,0.0
19001,0.0
19001,0.0
19001,0.0
20001,0.0
20001,0.0
20001,0.0
21001,0.0
21001,0.0
21001,0.0
22001,0.0
22001,0.0
22001,0.0
23001,0.0
23001,0.0
23001,0.0
24001,0.0
24001,0.0
24001,0.0
25001,0.0
25001,0.0
25001,0.0
26001,0.0
26001,0.0
26001,0.0
27001,0.0
27001,0.0
27001,0.0
28001,0.0
28001,0.0
28001,0.0
29001,0.0
29001,0.0
29001,0.0
30001,0.0
30001,0.0
30001,0.0
31001,0.0
31001,0.0
31001,0.0
32001,0.0
32001,0.0
32001,0.0
33001,0.0
33001,0.0
33001,0.0
34001,0.0
34001,0.0
34001,0.0
35001,0.0
35001,0.0
35001,0.0
36001,0.0009996891021728516
36001,0.0
36001,0.0
37001,0.0
37001,0.0
37001,0.0
38001,0.0
38001,0.0
38001,0.0
39001,0.0
39001,0.0
39001,0.0
40001,0.0
40001,0.0
40001,0.0
41001,0.0
41001,0.0
41001,0.0
42001,0.0
42001,0.0
42001,0.0
43001,0.0
43001,0.0
43001,0.0
44001,0.0
44001,0.0
44001,0.0
45001,0.0
45001,0.0
45001,0.0
46001,0.0
46001,0.0
46001,0.0
47001,0.0
47001,0.0
47001,0.0
48001,0.0
48001,0.0
48001,0.0
49001,0.0
49001,0.0009996891021728516
49001,0.0
50001,0.0
50001,0.0
50001,0.0
51001,0.0010013580322265625
51001,0.0
51001,0.0
52001,0.0
52001,0.0
52001,0.0
53001,0.0
53001,0.0
53001,0.0
54001,0.0
54001,0.0
54001,0.0
55001,0.0
55001,0.0
55001,0.0
56001,0.0
56001,0.0
56001,0.0
57001,0.0
57001,0.0
57001,0.0
58001,0.0
58001,0.0
58001,0.0
59001,0.0
59001,0.0
1,0.0
1,0.0
1,0.0
1001,0.0
1001,0.0
1001,0.0
2001,0.0
2001,0.0
2001,0.0
3001,0.0
3001,0.0
3001,0.0
4001,0.0
4001,0.0
4001,0.0
5001,0.0
5001,0.0
5001,0.0009987354278564453
6001,0.0
6001,0.0
6001,0.0
7001,0.0
7001,0.0
7001,0.0
8001,0.0
8001,0.0
8001,0.0
9001,0.0
9001,0.0
9001,0.0
10001,0.0
10001,0.0
10001,0.0
11001,0.0
11001,0.0
11001,0.0
12001,0.0
12001,0.0
12001,0.0
13001,0.0
13001,0.0
13001,0.0
14001,0.0
14001,0.0
14001,0.0
15001,0.0
15001,0.0
15001,0.0
16001,0.0
16001,0.0
16001,0.0
17001,0.0
17001,0.0
17001,0.0010004043579101562
1,0.0
1,0.0
1,0.0
1001,0.0
1001,0.0
1001,0.0
2001,0.0
2001,0.0
2001,0.0
3001,0.0
3001,0.0
3001,0.0
4001,0.0
4001,0.0
4001,0.0
5001,0.0
5001,0.0
5001,0.0
6001,0.0
6001,0.0
6001,0.0010008811950683594
7001,0.0
7001,0.0
7001,0.0
8001,0.0
8001,0.0
8001,0.0
9001,0.0
9001,0.0
9001,0.0
10001,0.0
10001,0.0
10001,0.0
11001,0.0009984970092773438
11001,0.0
11001,0.0
12001,0.0
12001,0.0
12001,0.0
13001,0.0
13001,0.0
13001,0.0
14001,0.0
14001,0.0
14001,0.0
15001,0.0
15001,0.0
15001,0.0
16001,0.0
16001,0.0
16001,0.0
17001,0.0
17001,0.0
17001,0.0
18001,0.0
18001,0.0
18001,0.0
19001,0.0
19001,0.0
19001,0.0
20001,0.0
20001,0.0
20001,0.0
21001,0.0
21001,0.0
21001,0.0
22001,0.0
22001,0.0
22001,0.0
23001,0.0
23001,0.0
23001,0.0
24001,0.0
24001,0.0
24001,0.0
25001,0.0
25001,0.0
25001,0.0
26001,0.0
26001,0.0
26001,0.0
27001,0.0
27001,0.0
27001,0.0
28001,0.0
28001,0.0
28001,0.0
29001,0.0
29001,0.0
29001,0.0
30001,0.0
30001,0.0
30001,0.0
31001,0.0
31001,0.0
31001,0.0
32001,0.0
32001,0.0
32001,0.0
33001,0.0
33001,0.0
33001,0.0
34001,0.0
34001,0.0
34001,0.0
35001,0.0
35001,0.0
35001,0.0
36001,0.0
36001,0.0
36001,0.0
37001,0.0
37001,0.0
37001,0.0
38001,0.0
38001,0.0
38001,0.0
39001,0.0
39001,0.0
39001,0.0
40001,0.0
40001,0.0
40001,0.0
41001,0.0
41001,0.0
41001,0.0
42001,0.0
42001,0.0
42001,0.0
43001,0.0
43001,0.0
43001,0.0
44001,0.0
44001,0.0
44001,0.0
45001,0.0
45001,0.0
45001,0.0
46001,0.0
46001,0.0
46001,0.0
47001,0.0
47001,0.0
47001,0.0
48001,0.0
48001,0.0
48001,0.0
49001,0.0
49001,0.0
49001,0.0
50001,0.0
50001,0.0
50001,0.0
51001,0.0
51001,0.0
51001,0.0
52001,0.0
52001,0.0
52001,0.0
53001,0.0
53001,0.0
53001,0.0
54001,0.0
54001,0.0
54001,0.0
55001,0.0
55001,0.0
55001,0.0
56001,0.0
56001,0.0
56001,0.0
57001,0.0
57001,0.0
57001,0.0
58001,0.0
58001,0.0
58001,0.0
59001,0.0
59001,0.0
59001,0.0
60001,0.0
60001,0.0
60001,0.0
61001,0.0
61001,0.0
61001,0.0
62001,0.0
62001,0.000997304916381836
62001,0.0
63001,0.0
63001,0.0
63001,0.0
64001,0.0
64001,0.0
64001,0.0
65001,0.0
65001,0.0
65001,0.0
66001,0.0
66001,0.0
66001,0.0009999275207519531
67001,0.0
67001,0.0
67001,0.0
68001,0.0
68001,0.0
68001,0.0
69001,0.0
69001,0.0
69001,0.0
70001,0.0
70001,0.0
70001,0.0
71001,0.0
71001,0.001001119613647461
71001,0.0
72001,0.0
72001,0.0
72001,0.0
73001,0.0
73001,0.0
73001,0.0
74001,0.0
74001,0.0
74001,0.0
75001,0.0010004043579101562
75001,0.0
75001,0.0
76001,0.0
76001,0.0
76001,0.0
77001,0.0
77001,0.0
77001,0.0
78001,0.0
78001,0.0
78001,0.0
79001,0.0
79001,0.0
79001,0.0
80001,0.0
80001,0.0
80001,0.0
81001,0.0
81001,0.0
81001,0.0
82001,0.0
82001,0.0
82001,0.0
83001,0.0
83001,0.0
83001,0.0
84001,0.0
84001,0.0
84001,0.0
85001,0.0
85001,0.0
85001,0.0
86001,0.0
86001,0.0
86001,0.0
87001,0.0
87001,0.0
87001,0.0
88001,0.0
88001,0.0
88001,0.0
89001,0.0
89001,0.0
89001,0.0
90001,0.0
90001,0.0
90001,0.0
91001,0.0
91001,0.0
91001,0.0
92001,0.0010001659393310547
92001,0.0
92001,0.0
93001,0.0
93001,0.0
93001,0.0
94001,0.0
94001,0.0
94001,0.0
95001,0.0
95001,0.0009999275207519531
95001,0.0
96001,0.0
96001,0.0
96001,0.0
97001,0.0
97001,0.0
97001,0.0
98001,0.0
98001,0.0
98001,0.0
99001,0.0
99001,0.0
99001,0.0
