# of Objects, Time Spent
1000,109006643.29528809
1000,107008695.60241699
2000,394984245.30029297
2000,398029088.973999
3000,882061481.4758301
3000,895065069.1986084
4000,2233678102.493286
4000,1895554542.541504
5000,2764204740.524292
5000,2450178623.199463
6000,3512259006.500244
6000,4271427154.5410156
7000,5286724090.576172
7000,5228917121.887207
8000,7863583803.17688
8000,8226607084.274292
9000,10367766618.728638
9000,13572082996.368408
10000,14847188711.166382
10000,13744018077.850342
11000,18653373003.00598
11000,16175195932.388306
12000,17395879983.901978
12000,16518730401.992798
13000,21268761157.989502
13000,18994198083.877563
14000,25226770401.000977
14000,24850021123.88611
15000,30970581769.943237
15000,32198660612.106323
16000,38970552206.03943
16000,29337836742.401123
17000,43146031141.28113
17000,44711839914.3219
18000,54574662685.39429
18000,41654971837.99744
19000,50651337385.17761
19000,40533086061.47766
20000,54934922695.15991
20000,53164304256.43921
21000,59973222017.28821
21000,66775037050.24719
22000,68106689929.96216
22000,83268894433.97522
23000,81415345191.95557
23000,87394720077.51465
24000,79091963052.74963
24000,60729076147.07947
25000,89057094573.97461
25000,86997107028.96118
