# of Objects, Time Spent
1000,0.0
1000,0.0
2000,1000881.1950683594
2000,0.0
3000,0.0
3000,999212.2650146484
4000,999689.1021728516
4000,0.0
5000,1000165.9393310547
5000,999927.5207519531
6000,2000808.7158203125
6000,0.0
7000,999927.5207519531
7000,1998424.5300292969
8000,4002809.524536133
8000,1000165.9393310547
9000,2000808.7158203125
9000,2997636.7950439453
10000,1999139.7857666016
10000,3999948.501586914
11000,0.0
11000,999689.1021728516
12000,2998828.887939453
12000,3999948.501586914
13000,5999803.54309082
13000,2999067.3065185547
14000,4000186.9201660156
14000,4000186.9201660156
15000,9002447.128295898
15000,1997947.6928710938
16000,5999565.124511719
16000,1000642.7764892578
17000,1000642.7764892578
17000,5000114.440917969
18000,5002975.4638671875
18000,2996683.120727539
19000,4997968.673706055
19000,5999326.705932617
20000,3999233.2458496094
20000,998020.1721191406
21000,1999139.7857666016
21000,2999544.143676758
22000,8000850.677490234
22000,0.0
23000,10996103.286743164
23000,3998756.4086914062
24000,2998828.887939453
24000,0.0
25000,2998113.6322021484
25000,1000642.7764892578
