# of Objects, Time Spent
1000,966069936.7523193
1000,895062923.4313965
2000,3961553335.1898193
2000,3716919898.9868164
3000,8535631418.228149
3000,8433122158.050537
4000,16984819889.068604
4000,15769282817.840576
5000,23233785867.69104
5000,23320693969.726562
6000,35733645200.72937
6000,34511702060.69946
7000,48379919528.96118
7000,47758026838.30261
8000,62712906122.20764
8000,65314958810.806274
9000,90598627328.87268
9000,86700178623.19946
10000,109799274206.1615
10000,115334660530.09033
11000,146589622974.39575
11000,129002620458.6029
12000,150227214336.39526
12000,143614928722.3816
13000,179245613336.5631
13000,169844821453.09448
14000,196494712591.17126
14000,203947018146.5149
15000,224350290536.8805
15000,230100566625.5951
16000,252639708995.8191
16000,279544582366.94336
17000,286103545904.15955
17000,306672419071.1975
18000,342829412221.90857
18000,333951112270.3552
19000,363423491477.9663
19000,349251956462.8601
20000,388743398427.96326
20000,396057754039.7644
21000,431956601381.3019
21000,497168833255.7678
22000,514793026208.87756
22000,509436444044.11316
23000,554547915697.0978
23000,558368227005.0049
24000,569396843433.3801
24000,580461327075.9583
25000,663724341869.3542
25000,651776915550.2319
