# of Objects, Time Spent
1,0.0
1,0.0
1,0.0
1001,0.9056813716888428
1001,0.8410840034484863
1001,0.8669087886810303
2001,3.819721221923828
2001,3.483983278274536
2001,3.9819953441619873
3001,8.917266368865967
3001,8.173243522644043
3001,8.205784559249878
4001,15.48961067199707
4001,14.291494369506836
4001,16.385687112808228
5001,23.3089759349823
5001,22.0929594039917
5001,22.200891971588135
6001,32.023252964019775
6001,33.65167570114136
6001,41.739089250564575
7001,46.618448972702026
7001,48.58100414276123
7001,47.32551383972168
8001,62.1593701839447
8001,62.53320813179016
8001,64.6824038028717
9001,78.71679067611694
9001,80.65784668922424
9001,79.66261911392212
10001,98.09204459190369
10001,97.19739151000977
10001,98.44052314758301
11001,117.23435854911804
11001,121.7468650341034
11001,119.12888264656067
12001,141.06764888763428
12001,142.3769247531891
12001,141.60156774520874
13001,165.81046223640442
13001,167.26332211494446
13001,165.87920331954956
14001,194.11345672607422
14001,196.51820468902588
14001,196.80873560905457
15001,225.45125913619995
15001,222.3456358909607
15001,216.2467966079712
16001,228.2062485218048
16001,266.21966218948364
16001,267.0667073726654
17001,275.5950765609741
17001,298.9597783088684
17001,259.26890563964844
18001,285.3899199962616
18001,290.6128475666046
18001,284.93037509918213
19001,316.4471080303192
19001,315.6503300666809
19001,322.0637528896332
20001,350.1070246696472
20001,350.17799377441406
20001,350.46587586402893
21001,388.2503113746643
21001,385.7270288467407
21001,387.47811460494995
22001,426.3756000995636
22001,423.4017450809479
22001,425.00806879997253
23001,475.0991952419281
23001,463.86754846572876
23001,464.4821608066559
24001,506.0164349079132
24001,505.898428440094
24001,504.70037388801575
25001,548.8555579185486
25001,546.5239078998566
25001,548.503410577774
